英単語,意味,選択肢,,,
role,役,役,哺乳動物,生産する,苦しむ
healthy,健康な,健康な,生産する,苦しむ,不足
mammal,哺乳動物,哺乳動物,苦しむ,不足,好奇心の強い
produce,生産する,生産する,不足,好奇心の強い,健康な
suffer,苦しむ,苦しむ,好奇心の強い,健康な,生産する
lack,不足,不足,健康な,生産する,事実
curious,好奇心の強い,好奇心の強い,生産する,不足,健康な
drug,薬(麻薬),薬(麻薬),毒,総額,酒
amount,総額,総額,定義,精神,不足
mind,精神,精神,役,不足,毒
definition,定義,定義,哺乳動物,事実,実例
separate,を分ける,を分ける,を支配する,生産する,頼る
usual,いつもの,いつもの,特有の,後に,わずかに
poison,毒,毒,薬(麻薬),酒,総額
carefully,注意深く,注意深く,好奇心の強い,効果的な,より少ない
control,を支配する,を支配する,生産する,選ぶ,主張する
alcohol,酒,酒,文化,植物,薬
instance,実例,実例,問題,文化,表現
depend,頼る,頼る,苦しむ,上げる,掘る